permiso_mod;permisos;size;directorio
rwxrwxrwx;drwxrwxrwx;512;0103_Unix_Ecollect/
rwxrwxrwx;drwxrwxrwx;512;0123_Unix_Rec_Ext/
rwxr-xr-x;drwxr-xr-x;512;0572_SHELL/
rwxr-xr-x;drwxr-xr-x;512;11717/
rwxr-xr-x;drwxr-xr-x;512;28208_Instalacion_certificado/
rwxrwxrwx;drwxrwxrwx;512;ACTIVACION_POST_ROAMING/
rwxrwxrwx;drwxrwxrwx;512;ACTUALIZACION_IMEI/
rwxr-xr-x;drwxr-xr-x;512;AUTO_SCL_SIR/
rwxr-xr-x;drwxr-xr-x;512;AbonadosBajaSCL/
rwxr-xr-x;drwxr-xr-x;512;Aso_gesrec_20161104/
rwxr-xr-x;drwxr-xr-x;512;BDOModificacionRoutingCategory/
rwxrwxrwx;drwxrwxrwx;512;BeneficiosPlanFamilia/
rwxrwxrwx;drwxrwxrwx;512;BloqueoEIR_Cartera/
rwxr-xr-x;drwxr-xr-x;512;C10257/
rwxr-xr-x;drwxr-xr-x;512;C12790/
rwxr-xr-x;drwxr-xr-x;512;C8922/
rwxrwxrwx;drwxrwxrwx;512;CRB_EXTERNO/
rwxr-xr-x;drwxr-xr-x;512;CargaNitsAutorizados/
rwxrwxrwx;drwxrwxrwx;512;CargaSaldoDavox/
rwxr-xr-x;drwxr-xr-x;512;CargueGSMAEquipos/
rwxr-xr-x;drwxr-xr-x;512;CargueSegmentacionAbonadoAuto/
rwxr-xr-x;drwxr-xr-x;512;Clausula_Permanencia/
rwxr-xr-x;drwxr-xr-x;512;ConciliaSerPositivosBDA/
rwxrwxr-x;drwxrwxr-x;512;ConciliacionMensualBDASCL/
rwxr-xr-x;drwxr-xr-x;512;ConciliacionSCLGesrecPagosOnline/
rwxr-xr-x;drwxr-xr-x;512;ConciliacionSCLGesrecPagosOnline_C30293_250615/
rwxr-xr-x;drwxr-xr-x;512;ConsultaMasivaImeiHurto/
rwxr-xr-x;drwxr-xr-x;1024;CreacionEnvioContratos/
rwxrwxrwx;drwxrwxrwx;512;DESACTIVACION_ROAMING/
rwxrwxrwx;drwxrwxrwx;512;ECO/
rwxrwxrwx;drwxrwxrwx;512;ECOLLECT/
rwxr-xr-x;drwxr-xr-x;512;ENLACE/
rwxr-xr-x;drwxr-xr-x;512;EnrutarDesenrutarImsi/
rwxr-xr-x;drwxr-xr-x;512;FamiliaAmigos/
rwxrwxr-x;drwxrwxr-x;512;GSMA_conciliacion_mensual/
rwxr-xr-x;drwxr-xr-x;512;GeneracionArchivoPortOutSCL/
rwxr-xr-x;drwxr-xr-x;512;GeneracionFacturaMiscelanea/
rwxr-xr-x;drwxr-xr-x;512;HIST_WSPAGOSONLINE/
rwxrwxr-x;drwxrwxr-x;512;HT_Reportes_auditoria_Mintic/
rwxr-xr-x;drwxr-xr-x;512;HegeaConvergenteSCL/
rwxr-xr-x;drwxr-xr-x;512;Historico/
rwxr-xr-x;drwxr-xr-x;512;HistoricoRecargas/
rwxr-xr-x;drwxr-xr-x;512;HistoricoRecargas_C15954_19042012/
rwxrwxr-x;drwxrwxr-x;512;Historico_novedades/
rwxrwxr-x;drwxrwxr-x;512;HurtoTerminalesDuplicados/
rwxrwxrwx;drwxrwxrwx;512;INFORME_LINEAS_CORPORATIVA/
rwxr-xr-x;drwxr-xr-x;512;INTERFACES_TRANSACT/
rwxr-xr-x;drwxr-xr-x;512;IVR_BDOCandidatosBloqueo/
rwxr-xr-x;drwxr-xr-x;512;JavaChurn/
rwxrwxr-x;drwxrwxr-x;512;JavaGenerico/
rwxr-xr-x;drwxr-xr-x;512;JavaGenericoSCL/
rwxr-xr-x;drwxr-xr-x;512;MTUReportes/
rwxr-xr-x;drwxr-xr-x;512;MarcaAsignaPerfil/
rwxr-xr-x;drwxr-xr-x;512;MatrizPlanesMoviles/
rwxrwxrwx;drwxrwxrwx;512;MigracionAtisColiving/
rwxr-xr-x;drwxr-xr-x;512;Monitoreo_wsp/
rwxrwxr-x;drwxrwxr-x;512;NotificadorJMSGWAA/
rwxr-xr-x;drwxr-xr-x;512;OrdenesServicioFullstack/
rwxrwxrwx;drwxrwxrwx;512;PagosIntegrados/
rwxr-xr-x;drwxr-xr-x;512;PagosIntegrados_C22101_20131010/
rwxrwxrwx;drwxrwxrwx;512;PasoHistoricoCAMPL/
